transcripts	A	T/U	C	G	GC	total	GC%
YPL239W_mRNA	207	138	111	147	258	603	0.42786069651741293
YLR065C_mRNA	173	164	93	116	209	546	0.38278388278388276
YDR246W-A_mRNA	49	56	59	37	96	201	0.47761194029850745
YNL278W_mRNA	1022	783	746	632	1378	3183	0.4329249136035187
YBL040C_mRNA	194	227	119	120	239	660	0.3621212121212121
YML043C_mRNA	558	400	258	308	566	1524	0.37139107611548555
YOR204W_mRNA	495	484	406	430	836	1815	0.46060606060606063
YGR115C_mRNA	167	306	199	108	307	780	0.3935897435897436
YHR151C_mRNA	463	490	306	322	628	1581	0.3972169512966477
YFR047C_mRNA	245	249	163	231	394	888	0.4436936936936937
YLR206W_mRNA	676	356	446	364	810	1842	0.43973941368078173
YDL002C_mRNA	243	137	88	144	232	612	0.3790849673202614
YNL305C_mRNA	196	266	230	202	432	894	0.48322147651006714
YLL029W_mRNA	701	588	442	519	961	2250	0.4271111111111111
YGR114C_mRNA	80	158	98	54	152	390	0.38974358974358975
YBR246W_mRNA	350	349	221	244	465	1164	0.39948453608247425
YMR258C_mRNA	534	517	283	328	611	1662	0.3676293622141998
YNL283C_mRNA	375	439	406	292	698	1512	0.46164021164021163
YDR047W_mRNA	304	306	200	279	479	1089	0.4398530762167126
YDR184C_mRNA	341	235	163	146	309	885	0.34915254237288135
YJR001W_mRNA	480	574	355	400	755	1809	0.4173576561636263
YDR486C_mRNA	262	150	138	140	278	690	0.4028985507246377
YGR198W_mRNA	844	726	437	447	884	2454	0.3602281988590057
YLR212C_mRNA	415	410	289	308	597	1422	0.41983122362869196
YPR026W_mRNA	1169	1069	693	705	1398	3636	0.3844884488448845
YGR024C_mRNA	249	216	111	138	249	714	0.3487394957983193
YOL164W_mRNA	562	519	396	464	860	1941	0.44307058217413703
YDL134C_mRNA	347	301	217	245	462	1110	0.41621621621621624
YOR061W_mRNA	343	276	192	209	401	1020	0.3931372549019608
YBL001C_mRNA	101	90	52	72	124	315	0.39365079365079364
YOL144W_mRNA	561	346	209	339	548	1455	0.3766323024054983
YGL235W_mRNA	126	143	136	132	268	537	0.49906890130353815
YDL135C_mRNA	229	155	100	125	225	609	0.3694581280788177
YDR062W_mRNA	481	535	307	363	670	1686	0.3973902728351127
YBR216C_mRNA	666	634	322	403	725	2025	0.35802469135802467
YNL040W_mRNA	459	375	246	291	537	1371	0.3916849015317287
YKL175W_mRNA	409	464	333	306	639	1512	0.4226190476190476
YDL050C_mRNA	98	131	80	63	143	372	0.3844086021505376
YBR124W_mRNA	93	123	66	78	144	360	0.4
YMR219W_mRNA	1929	1123	864	1061	1925	4977	0.38677918424753865
YKR067W_mRNA	659	673	447	453	900	2232	0.4032258064516129
YMR135C_mRNA	455	341	271	301	572	1368	0.41812865497076024
YKL218C_mRNA	293	260	189	239	428	981	0.436289500509684
YDR394W_mRNA	402	343	259	283	542	1287	0.4211344211344211
YGR192C_mRNA	249	280	239	231	470	999	0.47047047047047047
YPR079W_mRNA	374	279	255	238	493	1146	0.43019197207678883
YDR218C_mRNA	481	327	212	252	464	1272	0.36477987421383645
YGL040C_mRNA	276	307	202	244	446	1029	0.4334305150631681
YDL113C_mRNA	712	495	321	395	716	1923	0.37233489339573583
YDR297W_mRNA	295	311	224	220	444	1050	0.4228571428571429
YGL072C_mRNA	65	130	80	85	165	360	0.4583333333333333
YPL127C_mRNA	272	146	185	174	359	777	0.462033462033462
YOR051C_mRNA	448	314	210	267	477	1239	0.38498789346246975
YDR404C_mRNA	160	156	89	111	200	516	0.3875968992248062
YCL076W_mRNA	256	201	145	142	287	744	0.385752688172043
YPR009W_mRNA	274	221	165	147	312	807	0.38661710037174724
YCR042C_mRNA	1434	1235	638	917	1555	4224	0.3681344696969697
YNR056C_mRNA	416	590	327	353	680	1686	0.4033214709371293
YJL048C_mRNA	377	325	245	244	489	1191	0.4105793450881612
YGL172W_mRNA	446	361	310	302	612	1419	0.4312896405919662
YDR506C_mRNA	596	498	337	396	733	1827	0.40120415982484947
YLR412C-A_mRNA	94	39	33	41	74	207	0.357487922705314
YDR302W_mRNA	188	236	107	129	236	660	0.3575757575757576
YPL129W_mRNA	263	178	132	162	294	735	0.4
YJL196C_mRNA	227	332	165	209	374	933	0.4008574490889603
YLR283W_mRNA	337	260	174	174	348	945	0.3682539682539683
YOR008C-A_mRNA	66	77	42	40	82	225	0.36444444444444446
YJL127C-B_mRNA	44	56	32	27	59	159	0.3710691823899371
YHR161C_mRNA	644	448	442	380	822	1914	0.42946708463949845
YGR195W_mRNA	243	191	143	164	307	741	0.4143049932523617
YBR085W_mRNA	268	282	151	223	374	924	0.40476190476190477
YDR119W_mRNA	666	751	421	469	890	2307	0.3857824013870828
YNL178W_mRNA	215	195	142	171	313	723	0.43291839557399725
YDR430C_mRNA	975	843	554	598	1152	2970	0.3878787878787879
YMR143W_mRNA	130	130	81	91	172	432	0.39814814814814814
YJR073C_mRNA	146	173	144	158	302	621	0.4863123993558776
YBL043W_mRNA	250	190	171	163	334	774	0.4315245478036176
YER117W_mRNA	109	122	75	108	183	414	0.4420289855072464
YJL059W_mRNA	330	427	235	235	470	1227	0.3830480847595762
YLR232W_mRNA	94	108	78	68	146	348	0.41954022988505746
YDR519W_mRNA	108	130	71	99	170	408	0.4166666666666667
YBL002W_mRNA	126	105	95	70	165	396	0.4166666666666667
YKL129C_mRNA	1339	985	717	778	1495	3819	0.3914637339617701
YJR118C_mRNA	202	207	96	107	203	612	0.33169934640522875
YCR041W_mRNA	80	133	58	62	120	333	0.36036036036036034
YHR149C_mRNA	744	557	456	448	904	2205	0.40997732426303857
YKL007W_mRNA	280	217	143	167	310	807	0.38413878562577447
YJL130C_mRNA	1923	2065	1276	1381	2657	6645	0.399849510910459
YKL004W_mRNA	289	426	264	227	491	1206	0.4071310116086235
YLR032W_mRNA	1208	968	591	743	1334	3510	0.3800569800569801
YKR036C_mRNA	670	494	352	416	768	1932	0.39751552795031053
YAL034C-B_mRNA	121	112	60	61	121	354	0.3418079096045198
YJL123C_mRNA	540	312	245	340	585	1437	0.407098121085595
YOR084W_mRNA	289	267	312	296	608	1164	0.5223367697594502
YNL132W_mRNA	1041	909	599	622	1221	3171	0.38505203405865657
YML073C_mRNA	166	144	105	116	221	531	0.416195856873823
YOR276W_mRNA	171	121	91	103	194	486	0.3991769547325103
YNL137C_mRNA	513	389	254	305	559	1461	0.38261464750171115
YLR156W_mRNA	91	90	94	70	164	345	0.4753623188405797
YEL062W_mRNA	626	541	371	310	681	1848	0.3685064935064935
YGR035W-A_mRNA	57	82	46	37	83	222	0.3738738738738739
YPR129W_mRNA	366	242	233	209	442	1050	0.42095238095238097
YKL165C_mRNA	811	953	504	492	996	2760	0.36086956521739133
YGL125W_mRNA	502	473	437	391	828	1803	0.45923460898502494
YGL016W_mRNA	1037	1050	566	593	1159	3246	0.3570548367221195
YPR083W_mRNA	583	480	338	339	677	1740	0.38908045977011496
YKL106W_mRNA	438	395	244	279	523	1356	0.38569321533923306
YGR086C_mRNA	333	245	212	230	442	1020	0.43333333333333335
YDR145W_mRNA	638	340	326	316	642	1620	0.3962962962962963
YML011C_mRNA	179	144	88	123	211	534	0.3951310861423221
YML068W_mRNA	467	404	210	314	524	1395	0.3756272401433692
YKR051W_mRNA	375	412	219	251	470	1257	0.3739061256961018
YML101C_mRNA	98	74	86	96	182	354	0.5141242937853108
YOR192C-C_mRNA	83	80	43	31	74	237	0.31223628691983124
YDR121W_mRNA	219	122	99	151	250	591	0.4230118443316413
YDR275W_mRNA	224	211	116	157	273	708	0.3855932203389831
YPR011C_mRNA	289	272	184	236	420	981	0.42813455657492355
YLR188W_mRNA	632	592	390	474	864	2088	0.41379310344827586
YDL224C_mRNA	615	547	432	356	788	1950	0.4041025641025641
YJL076W_mRNA	1235	857	750	728	1478	3570	0.41400560224089633
YBR135W_mRNA	143	93	119	98	217	453	0.47902869757174393
YCR045C_mRNA	419	350	342	365	707	1476	0.47899728997289975
YNL329C_mRNA	954	934	605	600	1205	3093	0.389589395408988
YER058W_mRNA	124	62	46	92	138	324	0.42592592592592593
YIL036W_mRNA	620	433	383	328	711	1764	0.4030612244897959
YMR263W_mRNA	230	112	128	136	264	606	0.43564356435643564
YDR423C_mRNA	429	283	247	271	518	1230	0.4211382113821138
YDR411C_mRNA	280	294	228	224	452	1026	0.4405458089668616
YKL092C_mRNA	1222	951	532	610	1142	3315	0.3444947209653092
YBL075C_mRNA	616	523	346	465	811	1950	0.4158974358974359
YLR312W-A_mRNA	260	203	142	157	299	762	0.39238845144356954
YPR074W-A_mRNA	58	43	35	35	70	171	0.4093567251461988
YLR337C_mRNA	664	590	765	435	1200	2454	0.4889975550122249
YBL057C_mRNA	199	159	115	154	269	627	0.42902711323763953
YNL310C_mRNA	170	118	123	114	237	525	0.4514285714285714
YIL044C_mRNA	294	247	187	169	356	897	0.39687848383500557
YJL210W_mRNA	198	236	175	207	382	816	0.4681372549019608
YOR206W_mRNA	775	587	356	415	771	2133	0.36146272855133615
YDR446W_mRNA	372	204	181	152	333	909	0.36633663366336633
YLR142W_mRNA	441	401	317	272	589	1431	0.4116002795248078
YPR080W_mRNA	392	373	275	337	612	1377	0.4444444444444444
YJR020W_mRNA	87	93	72	81	153	333	0.4594594594594595
YMR106C_mRNA	660	483	360	387	747	1890	0.3952380952380952
YMR122C_mRNA	89	102	89	95	184	375	0.49066666666666664
YPR031W_mRNA	793	623	387	444	831	2247	0.369826435246996
YPL077C_mRNA	266	150	148	159	307	723	0.42461964038727523
YDL024C_mRNA	430	416	262	299	561	1407	0.39872068230277186
YMR259C_mRNA	1414	1341	749	759	1508	4263	0.35374149659863946
YOL036W_mRNA	760	574	505	447	952	2286	0.41644794400699914
YBL105C_mRNA	1196	917	647	696	1343	3456	0.38859953703703703
YJR010C-A_mRNA	92	85	48	60	108	285	0.37894736842105264
YJL127W-A_mRNA	33	36	22	26	48	117	0.41025641025641024
YHR042W_mRNA	560	552	514	450	964	2076	0.464354527938343
YER013W_mRNA	1219	913	583	723	1306	3438	0.3798720186154741
YDR538W_mRNA	209	214	155	151	306	729	0.41975308641975306
YJL212C_mRNA	632	750	520	498	1018	2400	0.4241666666666667
YJL118W_mRNA	165	181	176	138	314	660	0.47575757575757577
YDR434W_mRNA	507	516	277	305	582	1605	0.36261682242990656
YDR196C_mRNA	258	191	110	167	277	726	0.38154269972451793
YBR271W_mRNA	425	338	220	277	497	1260	0.39444444444444443
YKR057W_mRNA	77	73	54	60	114	264	0.4318181818181818
YKR072C_mRNA	587	367	367	368	735	1689	0.4351687388987567
YBR026C_mRNA	378	323	208	234	442	1143	0.3867016622922135
YGL138C_mRNA	383	300	178	177	355	1038	0.3420038535645472
YNL135C_mRNA	89	97	78	81	159	345	0.4608695652173913
YNL300W_mRNA	74	84	97	54	151	309	0.4886731391585761
YPR163C_mRNA	435	300	239	337	576	1311	0.43935926773455375
YOL061W_mRNA	424	422	320	325	645	1491	0.43259557344064387
YDR052C_mRNA	814	498	401	402	803	2115	0.3796690307328605
YDL181W_mRNA	84	56	53	65	118	258	0.4573643410852713
YKL224C_mRNA	90	105	101	76	177	372	0.47580645161290325
YCR045W-A_mRNA	71	95	111	74	185	351	0.5270655270655271
YDR058C_mRNA	334	289	163	195	358	981	0.36493374108053006
YIL007C_mRNA	222	172	121	148	269	663	0.4057315233785822
YIL029C_mRNA	131	146	71	81	152	429	0.3543123543123543
YLR064W_mRNA	232	291	161	138	299	822	0.3637469586374696
YPL029W_mRNA	741	608	404	461	865	2214	0.39069557362240287
YDL090C_mRNA	420	359	236	281	517	1296	0.39891975308641975
YDR512C_mRNA	187	144	83	150	233	564	0.41312056737588654
YDR173C_mRNA	360	296	163	249	412	1068	0.3857677902621723
YER129W_mRNA	1195	897	663	674	1337	3429	0.3899095946340041
YEL049W_mRNA	93	97	102	71	173	363	0.4765840220385675
YDR098C_mRNA	245	209	141	158	299	753	0.39707835325365204
YHL033C_mRNA	235	184	175	177	352	771	0.4565499351491569
YPL112C_mRNA	407	339	215	224	439	1185	0.37046413502109704
YLL026W_mRNA	898	735	489	605	1094	2727	0.40117345067840116
YDR454C_mRNA	174	160	103	127	230	564	0.4078014184397163
YJL062W_mRNA	659	804	531	499	1030	2493	0.4131568391496189
YML082W_mRNA	619	494	374	463	837	1950	0.42923076923076925
YLR309C_mRNA	1162	625	389	560	949	2736	0.3468567251461988
YBR056W_mRNA	493	436	248	329	577	1506	0.38313413014608233
YDR166C_mRNA	1068	854	508	486	994	2916	0.34087791495198905
YOL035C_mRNA	73	114	72	44	116	303	0.38283828382838286
YKL103C_mRNA	460	406	326	353	679	1545	0.4394822006472492
YDL206W_mRNA	718	761	400	410	810	2289	0.35386631716906947
YOL160W_mRNA	119	106	58	59	117	342	0.34210526315789475
YNL270C_mRNA	427	538	344	413	757	1722	0.43960511033681765
YPR088C_mRNA	539	406	287	394	681	1626	0.4188191881918819
YMR182W-A_mRNA	28	26	18	15	33	87	0.3793103448275862
YNL042W-B_mRNA	78	68	61	51	112	258	0.43410852713178294
YLR140W_mRNA	111	85	61	70	131	327	0.40061162079510704
YJL134W_mRNA	318	400	230	282	512	1230	0.416260162601626
YKL210W_mRNA	932	896	587	660	1247	3075	0.40552845528455284
YHR182C-A_mRNA	145	123	110	96	206	474	0.4345991561181435
YOL152W_mRNA	531	594	356	382	738	1863	0.3961352657004831
YOR318C_mRNA	84	80	64	78	142	306	0.46405228758169936
YJL077W-B_mRNA	37	27	14	21	35	99	0.35353535353535354
YOL126C_mRNA	298	340	252	244	496	1134	0.43738977072310403
YER181C_mRNA	92	126	62	44	106	324	0.3271604938271605
YGR197C_mRNA	455	494	335	360	695	1644	0.42274939172749393
YCR030C_mRNA	834	690	610	479	1089	2613	0.41676234213547647
YNL177C_mRNA	330	242	150	208	358	930	0.3849462365591398
YDL111C_mRNA	239	234	164	161	325	798	0.40726817042606517
YPL003W_mRNA	427	412	240	310	550	1389	0.3959683225341973
YER134C_mRNA	173	146	91	127	218	537	0.4059590316573557
YBR011C_mRNA	274	222	193	175	368	864	0.42592592592592593
YFL040W_mRNA	481	521	271	350	621	1623	0.3826247689463956
YLR376C_mRNA	260	198	126	145	271	729	0.3717421124828532
YMR002W_mRNA	137	100	129	105	234	471	0.4968152866242038
YNR013C_mRNA	727	830	624	504	1128	2685	0.4201117318435754
YGR176W_mRNA	86	86	91	85	176	348	0.5057471264367817
YKL090W_mRNA	477	359	228	268	496	1332	0.37237237237237236
YLR163W-A_mRNA	37	38	24	15	39	114	0.34210526315789475
YKL051W_mRNA	270	340	244	208	452	1062	0.4256120527306968
YHR014W_mRNA	321	229	185	141	326	876	0.3721461187214612
YKR063C_mRNA	542	401	231	335	566	1509	0.3750828363154407
YOL052C_mRNA	373	302	275	241	516	1191	0.4332493702770781
YER082C_mRNA	589	401	322	353	675	1665	0.40540540540540543
YOL093W_mRNA	324	180	164	214	378	882	0.42857142857142855
YPR001W_mRNA	443	416	274	328	602	1461	0.41204654346338127
YPL151C_mRNA	433	355	247	321	568	1356	0.41887905604719766
YKL167C_mRNA	154	110	73	77	150	414	0.36231884057971014
YNL113W_mRNA	162	94	79	94	173	429	0.40326340326340326
YKR029C_mRNA	871	565	402	418	820	2256	0.36347517730496454
YJR040W_mRNA	685	737	403	515	918	2340	0.3923076923076923
YDR501W_mRNA	530	420	331	285	616	1566	0.3933588761174968
YGR249W_mRNA	455	355	342	219	561	1371	0.40919037199124725
YDR054C_mRNA	298	224	171	195	366	888	0.41216216216216217
YMR265C_mRNA	433	354	284	315	599	1386	0.43217893217893216
YPL024W_mRNA	242	189	131	164	295	726	0.40633608815426997
YGL122C_mRNA	518	371	357	332	689	1578	0.43662864385297845
YGR012W_mRNA	383	294	227	278	505	1182	0.4272419627749577
YOR283W_mRNA	231	200	105	157	262	693	0.37806637806637805
YIR036C_mRNA	198	186	184	224	408	792	0.5151515151515151
YBR244W_mRNA	164	143	79	103	182	489	0.3721881390593047
YDL054C_mRNA	378	481	322	280	602	1461	0.41204654346338127
YIL060W_mRNA	126	131	96	82	178	435	0.4091954022988506
YGR128C_mRNA	752	642	387	361	748	2142	0.3492063492063492
YPL228W_mRNA	623	419	287	321	608	1650	0.36848484848484847
YGR125W_mRNA	990	962	538	621	1159	3111	0.37254901960784315
YLL061W_mRNA	426	577	342	407	749	1752	0.4275114155251142
YDR079C-A_mRNA	79	58	35	47	82	219	0.3744292237442922
YJL213W_mRNA	313	262	178	243	421	996	0.4226907630522088
YJL166W_mRNA	91	84	43	67	110	285	0.38596491228070173
YNL088W_mRNA	1607	1135	678	867	1545	4287	0.36039188243526943
YCL064C_mRNA	351	306	194	232	426	1083	0.39335180055401664
YNL249C_mRNA	535	498	271	325	596	1629	0.36586863106200124
YGL093W_mRNA	988	694	489	583	1072	2754	0.38925199709513436
YER009W_mRNA	110	121	81	66	147	378	0.3888888888888889
YIL054W_mRNA	66	124	73	55	128	318	0.4025157232704403
YPR173C_mRNA	442	311	226	335	561	1314	0.4269406392694064
YPL068C_mRNA	323	206	211	142	353	882	0.4002267573696145
YGR215W_mRNA	122	77	55	79	134	333	0.4024024024024024
YPL226W_mRNA	1141	1046	676	728	1404	3591	0.39097744360902253
YGL116W_mRNA	612	481	358	382	740	1833	0.4037097654118931
YLL047W_mRNA	97	153	73	61	134	384	0.3489583333333333
YBL058W_mRNA	418	292	259	303	562	1272	0.4418238993710692
YPR046W_mRNA	202	134	102	108	210	546	0.38461538461538464
YDL199C_mRNA	593	659	422	390	812	2064	0.39341085271317827
YHR020W_mRNA	606	564	424	473	897	2067	0.4339622641509434
YCR010C_mRNA	198	296	154	204	358	852	0.42018779342723006
YDL082W_mRNA	197	145	122	136	258	600	0.43
YBR036C_mRNA	314	384	263	272	535	1233	0.43390105433901055
YIR010W_mRNA	625	384	362	360	722	1731	0.4170999422299249
YMR058W_mRNA	541	522	442	406	848	1911	0.4437467294610152
YMR288W_mRNA	978	822	524	592	1116	2916	0.38271604938271603
Q0182_mRNA	139	160	43	63	106	405	0.2617283950617284
YMR158C-A_mRNA	52	39	17	30	47	138	0.34057971014492755
YLR218C_mRNA	156	91	78	128	206	453	0.45474613686534215
YKR048C_mRNA	374	240	299	341	640	1254	0.5103668261562998
YER038C_mRNA	485	425	222	263	485	1395	0.34767025089605735
YDR314C_mRNA	763	578	330	408	738	2079	0.354978354978355
YJL171C_mRNA	320	380	235	256	491	1191	0.41225860621326615
YIL057C_mRNA	170	117	97	111	208	495	0.4202020202020202
YER182W_mRNA	258	184	135	158	293	735	0.3986394557823129
YGL182C_mRNA	102	100	72	50	122	324	0.3765432098765432
YMR030W-A_mRNA	105	102	44	40	84	291	0.28865979381443296
YFR042W_mRNA	177	210	107	109	216	603	0.3582089552238806
YPL283C_mRNA	1638	1440	1131	1371	2502	5580	0.4483870967741935
YNL092W_mRNA	379	336	233	255	488	1203	0.4056525353283458
YBR088C_mRNA	242	237	150	148	298	777	0.3835263835263835
YMR197C_mRNA	244	158	117	135	252	654	0.3853211009174312
YAR020C_mRNA	40	54	40	34	74	168	0.44047619047619047
YER157W_mRNA	810	729	403	464	867	2406	0.36034912718204487
YGL220W_mRNA	119	86	63	95	158	363	0.43526170798898073
YOR090C_mRNA	584	454	338	343	681	1719	0.3961605584642234
YNL065W_mRNA	491	561	322	387	709	1761	0.4026121521862578
YJL049W_mRNA	548	347	191	267	458	1353	0.3385070214338507
YNL037C_mRNA	327	285	229	242	471	1083	0.43490304709141275
YJL119C_mRNA	102	88	63	71	134	324	0.41358024691358025
YMR122W-A_mRNA	51	77	81	46	127	255	0.4980392156862745
YML069W_mRNA	575	444	266	374	640	1659	0.3857745629897529
YDR099W_mRNA	272	222	179	149	328	822	0.39902676399026765
YFL066C_mRNA	333	305	221	320	541	1179	0.458863443596268
YLL041C_mRNA	248	215	169	169	338	801	0.42197253433208487
YDR484W_mRNA	726	559	338	303	641	1926	0.3328141225337487
YDR412W_mRNA	295	141	104	168	272	708	0.384180790960452
YGL018C_mRNA	197	125	123	110	233	555	0.4198198198198198
YJR009C_mRNA	251	279	239	230	469	999	0.4694694694694695
YDL101C_mRNA	553	403	285	301	586	1542	0.38002594033722437
YPR030W_mRNA	1077	938	720	631	1351	3366	0.40136660724896017
YLR085C_mRNA	417	363	253	284	537	1317	0.40774487471526194
YKL003C_mRNA	130	114	70	82	152	396	0.3838383838383838
YEL071W_mRNA	455	437	273	326	599	1491	0.4017437961099933
YDR408C_mRNA	192	144	145	164	309	645	0.4790697674418605
YDR014W-A_mRNA	189	95	101	104	205	489	0.41922290388548056
YLL066C_mRNA	1068	873	752	925	1677	3618	0.4635157545605307
YJL101C_mRNA	645	577	389	426	815	2037	0.40009818360333826
YJL090C_mRNA	814	673	439	369	808	2295	0.3520697167755991
YGR266W_mRNA	696	586	385	439	824	2106	0.3912630579297246
YDR402C_mRNA	476	436	284	274	558	1470	0.3795918367346939
YAL033W_mRNA	168	137	100	117	217	522	0.4157088122605364
YDR330W_mRNA	507	358	324	314	638	1503	0.4244843646041251
YLR316C_mRNA	315	224	180	250	430	969	0.4437564499484004
YPR041W_mRNA	389	334	226	269	495	1218	0.4064039408866995
YOR231C-A_mRNA	56	76	43	26	69	201	0.34328358208955223
YMR059W_mRNA	134	105	73	75	148	387	0.38242894056847543
YDR074W_mRNA	881	743	522	545	1067	2691	0.3965068747677443
YLR015W_mRNA	545	370	251	352	603	1518	0.39723320158102765
YCR026C_mRNA	729	602	414	484	898	2229	0.4028712427097353
YLL066W-B_mRNA	50	34	74	13	87	171	0.5087719298245614
YNL082W_mRNA	956	729	416	521	937	2622	0.35736079328756676
YMR149W_mRNA	244	258	196	163	359	861	0.4169570267131243
YER190W_mRNA	1452	1285	1038	1271	2309	5046	0.4575901704320254
YLR327C_mRNA	93	51	59	58	117	261	0.4482758620689655
YDR346C_mRNA	482	394	239	331	570	1446	0.3941908713692946
YPR076W_mRNA	120	89	80	86	166	375	0.44266666666666665
YDR303C_mRNA	904	833	472	449	921	2658	0.34650112866817157
YBR121C-A_mRNA	47	53	27	32	59	159	0.3710691823899371
YDL200C_mRNA	201	156	84	126	210	567	0.37037037037037035
YMR199W_mRNA	570	446	343	282	625	1641	0.3808653260207191
YDR401W_mRNA	139	199	123	103	226	564	0.40070921985815605
YAL036C_mRNA	320	305	209	276	485	1110	0.4369369369369369
YPR034W_mRNA	472	321	301	340	641	1434	0.44700139470013944
YDL108W_mRNA	304	252	163	202	365	921	0.3963083604777416
YLR009W_mRNA	234	135	92	139	231	600	0.385
YPL032C_mRNA	883	642	563	390	953	2478	0.3845843422114609
YPL225W_mRNA	156	125	63	97	160	441	0.36281179138321995
YER067W_mRNA	172	125	86	103	189	486	0.3888888888888889
YML005W_mRNA	466	406	250	267	517	1389	0.3722102231821454
YNL073W_mRNA	544	465	336	386	722	1731	0.4170999422299249
YNR047W_mRNA	902	684	574	522	1096	2682	0.4086502609992543
YJL112W_mRNA	742	556	395	452	847	2145	0.39487179487179486
YNL153C_mRNA	132	88	73	97	170	390	0.4358974358974359
YCR047C_mRNA	218	174	167	269	436	828	0.5265700483091788
YPL034W_mRNA	181	131	91	95	186	498	0.37349397590361444
YGL120C_mRNA	732	627	460	485	945	2304	0.41015625
YML096W_mRNA	510	473	268	327	595	1578	0.3770595690747782
YIL085C_mRNA	486	463	266	339	605	1554	0.3893178893178893
YBR192W_mRNA	385	309	174	266	440	1134	0.3880070546737213
YLR223C_mRNA	1282	756	542	678	1220	3258	0.37446286065070594
YNL009W_mRNA	467	336	204	256	460	1263	0.3642121931908155
YHL014C_mRNA	433	326	201	258	459	1218	0.3768472906403941
YKR047W_mRNA	70	103	80	53	133	306	0.434640522875817
YBL013W_mRNA	330	284	297	295	592	1206	0.49087893864013266
YER180C_mRNA	277	225	141	161	302	804	0.3756218905472637
YGL217C_mRNA	91	111	80	60	140	342	0.4093567251461988
YOR392W_mRNA	130	146	88	80	168	444	0.3783783783783784
YPL028W_mRNA	320	349	235	293	528	1197	0.44110275689223055
YCR043C_mRNA	117	125	54	88	142	384	0.3697916666666667
YDR193W_mRNA	101	124	78	96	174	399	0.43609022556390975
YAL001C_mRNA	1238	952	549	744	1293	3483	0.37123169681309215
YDL079C_mRNA	507	408	287	304	591	1506	0.39243027888446214
YKL035W_mRNA	446	432	307	315	622	1500	0.4146666666666667
YKL062W_mRNA	642	505	422	324	746	1893	0.3940834653988378
YPR005C_mRNA	317	232	165	171	336	885	0.37966101694915255
YFL031C-A_mRNA	37	26	20	19	39	102	0.38235294117647056
YLR419W_mRNA	1552	1172	747	837	1584	4308	0.36768802228412256
YMR150C_mRNA	168	169	102	134	236	573	0.4118673647469459
YHR025W_mRNA	272	285	284	233	517	1074	0.4813780260707635
YDL087C_mRNA	253	168	169	196	365	786	0.4643765903307888
YIL014W_mRNA	608	585	308	392	700	1893	0.369783412572636
YER089C_mRNA	391	326	330	348	678	1395	0.4860215053763441
YJL131C_mRNA	424	262	162	223	385	1071	0.35947712418300654
YLR028C_mRNA	528	482	353	413	766	1776	0.4313063063063063
YDR094W_mRNA	93	72	89	82	171	336	0.5089285714285714
YJR126C_mRNA	790	658	445	543	988	2436	0.40558292282430214
YLR120W-A_mRNA	38	31	11	22	33	102	0.3235294117647059
YGL065C_mRNA	488	479	259	286	545	1512	0.36044973544973546
YOL052C-A_mRNA	41	56	49	40	89	186	0.478494623655914
YHR150W_mRNA	567	483	328	362	690	1740	0.39655172413793105
YHR204W_mRNA	710	708	495	478	973	2391	0.4069427017984107
YHR135C_mRNA	556	366	391	304	695	1617	0.4298082869511441
YIL041W_mRNA	311	227	221	222	443	981	0.45158002038735984
YIL112W_mRNA	1241	749	546	716	1262	3252	0.3880688806888069
YLR160C_mRNA	290	316	239	244	483	1089	0.44352617079889806
YBL031W_mRNA	373	239	227	178	405	1017	0.39823008849557523
YJR005C-A_mRNA	125	32	48	77	125	282	0.4432624113475177
YBR201W_mRNA	195	198	114	129	243	636	0.38207547169811323
YBR189W_mRNA	181	155	113	139	252	588	0.42857142857142855
YLR098C_mRNA	646	565	370	366	736	1947	0.37801746276322545
YOR096W_mRNA	180	164	113	116	229	573	0.39965095986038396
YEL025C_mRNA	1135	1107	613	712	1325	3567	0.37146061115783574
YIL051C_mRNA	128	128	99	83	182	438	0.4155251141552511
YHR193C_mRNA	178	110	122	115	237	525	0.4514285714285714
YPR071W_mRNA	200	195	116	125	241	636	0.3789308176100629
YJR017C_mRNA	151	96	125	141	266	513	0.5185185185185185
YMR113W_mRNA	413	364	223	284	507	1284	0.39485981308411217
YMR257C_mRNA	844	731	378	450	828	2403	0.3445692883895131
YKL049C_mRNA	267	149	118	156	274	690	0.39710144927536234
YHR057C_mRNA	169	165	115	169	284	618	0.459546925566343
YMR158W_mRNA	165	120	92	91	183	468	0.391025641025641
YDL243C_mRNA	293	291	160	246	406	990	0.4101010101010101
YLR234W_mRNA	614	399	468	490	958	1971	0.48604769152714355
YEL050C_mRNA	367	307	233	275	508	1182	0.42978003384094754
YIL078W_mRNA	702	635	382	486	868	2205	0.39365079365079364
YCR003W_mRNA	208	137	98	109	207	552	0.375
YPL007C_mRNA	610	524	294	339	633	1767	0.35823429541595925
YGR235C_mRNA	234	180	129	159	288	702	0.41025641025641024
YBR017C_mRNA	869	814	481	593	1074	2757	0.3895538628944505
YOR091W_mRNA	388	176	224	250	474	1038	0.45664739884393063
YBR072C-A_mRNA	56	43	32	31	63	162	0.3888888888888889
YNL114C_mRNA	73	147	82	70	152	372	0.40860215053763443
YBR242W_mRNA	248	176	132	161	293	717	0.4086471408647141
YDR331W_mRNA	392	372	229	243	472	1236	0.3818770226537217
YOR248W_mRNA	90	78	85	50	135	303	0.44554455445544555
YLR247C_mRNA	1644	1311	789	927	1716	4671	0.3673731535003211
